movie_name,male_mentions,male_total_centrality,male_avg_centrality,male_cast_count,female_mentions,female_total_centrality,female_avg_centrality,female_cast_count,mentions_ratio,centrality_ratio,cast_ratio,avg_centrality_diff
Ajooba,29.0,907.0999999999999,3.098698944476576,4,12.0,629.0,2.4604964539007095,3,2.4166664652777947,1.4421303633670421,1.333332888889037,0.6382024905758663
Akaash Vani,34.0,1524.833333333333,4.467295306790269,3,68.0,2364.6666666666665,4.456823246901702,3,0.49999999264705897,0.6448407101868449,0.9999996666667778,0.010472059888567031
Akele Hum Akele Tum,35.0,3581.333333333333,9.862457170827215,3,27.0,618.8333333333334,2.714181286549708,1,1.2962962482853242,5.7872340332013446,2.9999970000030003,7.148275884277506
Akhiyon Se Goli Maare,6.0,309.0,8.218032786885246,2,18.0,249.66666666666666,2.841373080397471,3,0.3333333148148158,1.2376501953098125,0.6666664444445185,5.376659706487775
Akira,0.0,264.0,6.791666666666668,2,0.0,3094.166666666667,4.729867615093513,5,0.0,0.08532184214856282,0.399999920000016,2.0617990515731552
Aksar,66.0,1991.8333333333337,4.222061493079193,2,31.0,565.1666666666665,2.6010054640964304,3,2.1290321893860584,3.5243291002223622,0.6666664444445185,1.6210560289827622
Alaap,28.0,1017.5333333333333,2.203953324120989,5,6.0,36.0,0.43902439024390244,2,4.6666658888890185,28.264814029681094,2.499998750000625,1.7649289338770866
Aladin,90.0,2961.383333333333,3.942099192179471,7,14.0,442.8833333333333,3.98993993993994,1,6.428570969387788,6.68659916452053,6.9999930000070005,-0.04784074776046898
Alag,19.0,1555.5,5.1466152755626435,5,5.0,98.0,2.0851063829787235,1,3.799999240000152,15.872448817628074,4.999995000005001,3.06150889258392
Alag Alag,19.0,756.1666666666667,2.3558876811594205,4,45.0,421.16666666666663,3.586724789305434,5,0.4222222128395064,1.7954095723100687,0.799999840000032,-1.2308371081460137
Albela,0.0,5971.5166666666655,5.784972890467414,6,0.0,4658.016666666666,4.317172304993482,5,0.0,1.2819869684274805,1.199999760000048,1.467800585473932
Ali Baba,20.0,1092.1666666666665,5.01104181929182,5,2.0,75.0,3.260869565217391,1,9.9999950000025,14.56222202805926,4.999995000005001,1.7501722540744287
All Is Well,25.0,268.3333333333333,2.2115384615384617,3,60.0,1095.8,1.9486547235641438,3,0.41666665972222233,0.24487436857862652,0.9999996666667778,0.26288373797431785
All The Best: Fun Begins,47.0,1843.0,3.8156102959777387,5,6.0,247.5,5.380434782608695,1,7.833332027777995,7.446464616377921,4.999995000005001,-1.5648244866309566
